"HR  [1/9110]+ ""Bright Star"" 
","HD        [1/225300] Henry Draper"" catalog",RA degre,Dec (degre),"Vmag
Mag",couleur,,,,,,,,,,,,,,,,
1666,33111,"83,75","-5,08638888888889",2.79,yellow,,,,,,,,,,,105,,,,,
1674,33262,"81,25","-57,4727777777778",4.72,yellow,,,,,,,,,,,"103,75",,,,,
1676,33276,"86,25","15,5972222222222",4.82,yellow,,,,,,,,,,,"101,25",,,,,
1679,33328,"86,25","-8,75416666666667",4.27,Light blue,,,,,,,,,,,"107,5",,,,,
1689,33641,"91,25","38,4844444444444",4.88,yellow,,,,,,,,,,,"108,75",,,,,
1696,33802,90,"-11,8691666666667",4.44,Light blue,,,,,,,,,,,"107,5",,,,,
1698,33856,"91,25","2,86111111111111",4.44,Red,,,,,,,,,,,110,,,,,
1702,33904,90,"-16,2055555555556",3.29,Light blue,,,,,,,,,,,"112,5",,,,,
1705,33949,"91,25","-12,9416666666667",4.36,Light blue,,,,,,,,,,,110,,,,,
1708,34029,95,"45,9980555555556",0.08,Red,,,,,,,,,,,"116,25",,,,,
1713,34085,"92,5","-8,20166666666667",0.13,Light blue,,,,,,,,,,,"121,25",,,,,
1726,34334,"97,5","33,3716666666667",4.54,Red,,,,,,,,,,,"127,5",,,,,
1729,34411,"98,75","40,0991666666667",4.71,yellow,,,,,,,,,,,"121,25",,,,,
1735,34503,"96,25","-6,84444444444444",3.59,Light blue,,,,,,,,,,,"122,5",,,,,
1739,34559,"98,75","22,0963888888889",4.94,Red,,,,,,,,,,,125,,,,,
1743,34642,"96,25","-34,8952777777778",4.83,Red,,,,,,,,,,,"123,75",,,,,
1744,34649,"91,25","-67,1855555555556",4.83,Red,,,,,,,,,,,125,,,,,
1756,34816,"98,75","-13,1769444444444",4.29,Light blue,,,,,,,,,,,125,,,,,
1762,34968,100,"-21,2397222222222",4.71,Light blue,,,,,,,,,,,"127,5",,,,,
1765,35039,"101,25","-0,3825",4.74,Light blue,,,,,,,,,,,"131,25",,,,,
1770,35149,"102,5","3,54444444444444",5,Light blue,,,,,,,,,,,"127,5",,,,,
1773,35186,105,"37,3855555555556",4.99,Red,,,,,,,,,,,130,,,,,
1780,35296,105,"17,3833333333333",4.99,Red,,,,,,,,,,,130,,,,,
1784,35369,"103,75","-7,80805555555556",4.12,Red,,,,,,,,,,,"133,75",,,,,
1788,35411,105,"-2,39694444444444",3.35,Light blue,,,,,,,,,,,"132,5",,,,,
1789,35439,105,"1,84638888888889",4.96,Light blue,,,,,,,,,,,"78,75",,,,,
1790,35468,"106,25","6,34972222222222",1.64,Light blue,,,,,,,,,,,"76,25",,,,,
1791,35497,"107,5","28,6075",1.65,Light blue,,,,,,,,,,,"133,75",,,,,
1810,35708,"108,75","21,9369444444444",4.89,Light blue,,,,,,,,,,,"77,5",,,,,
1811,35715,"107,5","3,09555555555556",4.59,Light blue,,,,,,,,,,,"76,25",,,,,
1829,36079,110,"-20,7594444444444",2.84,Red,,,,,,,,,,,"78,75",,,,,
1834,36167,"111,25","-1,09222222222222",4.71,Red,,,,,,,,,,,"76,25",,,,,
1839,36267,"112,5","5,94805555555556",4.2,Light blue,,,,,,,,,,,"82,5",,,,,
1843,36371,115,"32,1919444444444",4.79,yellow,,,,,,,,,,,80,,,,,
1845,36389,115,"18,5941666666667",4.33,Red,,,,,,,,,,,"82,5",,,,,
1852,36486,115,"-0,299166666666667",2.24,Light blue,,,,,,,,,,,80,,,,,
1855,36512,"113,75","-7,30166666666667",4.63,Light blue,,,,,,,,,,,"81,25",,,,,
1862,36597,"113,75","-35,4705555555556",3.87,Red,,,,,,,,,,,"83,75",,,,,
1865,36673,115,"-17,8222222222222",2.57,yellow,,,,,,,,,,,"83,75",,,,,
1876,36822,"117,5","9,48944444444444",4.41,Light blue,,,,,,,,,,,"81,25",,,,,
1879,36861,"118,75","9,93416666666667",3.66,Light blue,,,,,,,,,,,"86,25",,,,,
1887,36960,"118,75","-6,00194444444445",4.78,Light blue,,,,,,,,,,,"86,25",,,,,
1892,37018,"118,75","-4,83833333333333",4.59,Light blue,,,,,,,,,,,"91,25",,,,,
1899,37043,"118,75","-5,91",2.76,Light blue,,,,,,,,,,,90,,,,,
1903,37128,120,"-1,20194444444444",1.69,Light blue,,,,,,,,,,,"91,25",,,,,
1907,37160,120,"9,29055555555556",4.09,Red,,,,,,,,,,,90,,,,,
1910,37202,"121,25","21,1425",3.03,Light blue,,,,,,,,,,,"91,25",,,,,
1922,37350,"116,25","-62,49",3.76,Red,,,,,,,,,,,95,,,,,
1931,37468,"122,5","-2,6",3.8,Light blue,,,,,,,,,,,"92,5",,,,,
1934,37490,"123,75","4,12138888888889",4.59,Light blue,,,,,,,,,,,"97,5",,,,,
1937,37507,"122,5","-7,21305555555556",4.81,yellow,,,,,,,,,,,"98,75",,,,,
1946,37711,"126,25","16,5338888888889",4.86,Light blue,,,,,,,,,,,"96,25",,,,,
1948,37742,125,"-1,94277777777778",2.05,Light blue,,,,,,,,,,,"98,75",,,,,
1949,37743,125,"-1,94277777777778",4.21,Red,,,,,,,,,,,"96,25",,,,,
1952,37756,125,"-1,12888888888889",4.95,yellow,,,,,,,,,,,"91,25",,,,,
1956,37795,"123,75","-34,0741666666667",2.65,Light blue,,,,,,,,,,,"98,75",,,,,
1963,37984,"127,5","1,47472222222222",4.9,Red,,,,,,,,,,,100,,,,,
1983,38393,130,"-22,4483333333333",3.6,yellow,,,,,,,,,,,"101,25",,,,,
1995,38656,"136,25","39,1811111111111",4.53,Red,,,,,,,,,,,"102,5",,,,,
1998,38678,"132,5","-14,8219444444444",3.54,yellow,,,,,,,,,,,105,,,,,
2002,38751,"136,25","24,5675",4.86,Red,,,,,,,,,,,105,,,,,
2004,38771,"133,75","-9,66972222222222",2.06,Light blue,,,,,,,,,,,"103,75",,,,,
2010,38899,"136,25","12,6511111111111",4.91,Light blue,,,,,,,,,,,105,,,,,
2011,38944,"138,75","37,3055555555556",4.74,Red,,,,,,,,,,,105,,,,,
2012,39003,"138,75","39,1486111111111",3.97,Red,,,,,,,,,,,"106,25",,,,,
2015,39014,130,"-65,7355555555556",4.35,yellow,,,,,,,,,,,"107,5",,,,,
2020,39060,"133,75","-51,0663888888889",3.85,yellow,,,,,,,,,,,"108,75",,,,,
2029,39283,"142,5","55,7069444444444",5,yellow,,,,,,,,,,,"107,5",,,,,
2034,39357,"141,25","27,6122222222222",4.59,yellow,,,,,,,,,,,110,,,,,
2035,39364,"138,75","-20,8791666666667",3.85,Red,,,,,,,,,,,"111,25",,,,,
2037,39400,140,"1,85527777777778",4.78,Red,,,,,,,,,,,"112,5",,,,,
2040,39425,"137,5","-35,7683333333333",3.12,Red,,,,,,,,,,,115,,,,,
2042,39523,"136,25","-56,1666666666667",4.51,Red,,,,,,,,,,,115,,,,,
2047,39587,"142,5","20,2761111111111",4.41,yellow,,,,,,,,,,,115,,,,,
2056,39764,"141,25","-33,8013888888889",4.87,Light blue,,,,,,,,,,,"113,75",,,,,
2061,39801,"143,75","7,40694444444445",0.5,Red,,,,,,,,,,,"113,75",,,,,
2077,40035,"148,75","54,2847222222222",3.72,Red,,,,,,,,,,,115,,,,,
2084,40111,"146,25","25,9538888888889",4.82,Light blue,,,,,,,,,,,"117,5",,,,,
2085,40136,145,"-14,1677777777778",3.72,yellow,,,,,,,,,,,"118,75",,,,,
2087,40176,"143,75","-37,1208333333333",4.97,Red,,,,,,,,,,,"118,75",,,,,
2088,40183,"148,75","44,9475",1.9,yellow,,,,,,,,,,,"118,75",,,,,
2091,40239,"148,75","45,9369444444444",4.25,Red,,,,,,,,,,,"118,75",,,,,
2095,40312,"148,75","37,2125",2.62,Light blue,,,,,,,,,,,120,,,,,
2102,40409,"142,5","-63,0897222222222",4.65,Red,,,,,,,,,,,120,,,,,
2106,40494,"146,25","-35,2833333333333",4.36,Light blue,,,,,,,,,,,"121,25",,,,,
2113,40657,90,"-3,07416666666667",4.52,Red,,,,,,,,,,,"116,25",,,,,
2120,40808,"148,75","-42,8152777777778",3.96,Red,,,,,,,,,,,"122,5",,,,,
2124,40932,"92,5","9,6475",4.12,yellow,,,,,,,,,,,"123,75",,,,,
2128,40967,"91,25","-10,5980555555556",4.94,Light blue,,,,,,,,,,,"122,5",,,,,
2134,41116,95,"23,2633333333333",4.15,Red,,,,,,,,,,,"126,25",,,,,
2135,41117,"93,75","20,1383333333333",4.63,yellow,,,,,,,,,,,125,,,,,
2148,41511,95,"-16,4844444444444",4.93,Red,,,,,,,,,,,125,,,,,
2155,41695,"97,5","-14,9352777777778",4.67,yellow,,,,,,,,,,,125,,,,,
2159,41753,"98,75","14,7683333333333",4.42,Light blue,,,,,,,,,,,"123,75",,,,,
2198,42545,105,"16,1305555555556",4.92,Light blue,,,,,,,,,,,"127,5",,,,,
2199,42560,"103,75","14,2086111111111",4.48,Light blue,,,,,,,,,,,130,,,,,
2209,42818,"112,5","69,32",4.8,yellow,,,,,,,,,,,"136,25",,,,,
2212,42933,"102,5","-54,9686111111111",4.81,Light blue,,,,,,,,,,,"132,5",,,,,
2215,42973,"111,25","61,5152777777778",4.98,Red,,,,,,,,,,,"136,25",,,,,
2216,42995,"107,5","22,5066666666667",3.28,Red,,,,,,,,,,,"133,75",,,,,
2219,43039,"108,75","29,4980555555556",4.35,Red,,,,,,,,,,,"136,25",,,,,
2227,43232,"107,5","-6,27472222222222",3.96,Red,,,,,,,,,,,"138,75",,,,,
2238,43378,"113,75","59,0108333333333",4.48,yellow,,,,,,,,,,,"138,75",,,,,
2256,43785,110,"-35,1405555555556",4.37,Red,,,,,,,,,,,130,,,,,
2275,44131,"113,75","-2,94444444444444",4.9,Red,,,,,,,,,,,"133,75",,,,,
2282,44402,115,"-30,0633333333333",3.02,Light blue,,,,,,,,,,,"142,5",,,,,
2286,44478,"117,5","22,5136111111111",2.87,Red,,,,,,,,,,,"141,25",,,,,
2289,44537,120,"49,2880555555556",4.75,Red,,,,,,,,,,,"138,75",,,,,
2294,44743,"117,5","-17,9561111111111",1.97,Light blue,,,,,,,,,,,140,,,,,
2296,44762,"117,5","-33,4363888888889",3.85,Red,,,,,,,,,,,"137,5",,,,,
2298,44769,"118,75","4,59277777777778",4.44,yellow,,,,,,,,,,,"136,25",,,,,
2326,45348,"118,75","-52,6955555555556",-0.72,yellow,,,,,,,,,,,"142,5",,,,,
2343,45542,125,"20,2119444444444",4.14,Light blue,,,,,,,,,,,"141,25",,,,,
2356,45725,125,"-7,03305555555556",4.6,Light blue,,,,,,,,,,,"143,75",,,,,
2361,45813,125,"-32,5802777777778",4.48,Light blue,,,,,,,,,,,"148,75",,,,,
2385,46300,130,"7,33277777777778",4.5,Light blue,,,,,,,,,,,"146,25",,,,,
2387,46328,"128,75","-23,4183333333333",4.33,Light blue,,,,,,,,,,,145,,,,,
2414,46933,"133,75","-22,9647222222222",4.54,Light blue,,,,,,,,,,,"143,75",,,,,
2421,47105,"136,25","16,3991666666667",1.92,yellow,,,,,,,,,,,"148,75",,,,,
2427,47174,"138,75","42,4888888888889",4.82,Red,,,,,,,,,,,"148,75",,,,,
2429,47205,135,"-19,2561111111111",3.91,Red,,,,,,,,,,,"148,75",,,,,
2435,47306,"132,5","-52,9755555555556",4.39,yellow,,,,,,,,,,,"142,5",,,,,
2443,47442,"136,25","-18,2375",4.42,Red,,,,,,,,,,,"146,25",,,,,
2450,47667,"138,75","-14,1458333333333",4.82,Red,,,,,,,,,,,90,,,,,
2451,47670,"136,25","-43,1958333333333",3.17,Light blue,,,,,,,,,,,"148,75",,,,,
2456,47839,140,"9,89555555555556",4.66,Light blue,,,,,,,,,,,"92,5",,,,,
2462,47973,"137,5","-48,2202777777778",4.93,Red,,,,,,,,,,,"91,25",,,,,
2470,48250,"147,5","59,4416666666667",4.87,yellow,,,,,,,,,,,95,,,,,
2473,48329,"143,75","25,1311111111111",2.98,Red,,,,,,,,,,,"93,75",,,,,
2478,48433,"143,75","13,2277777777778",4.49,Red,,,,,,,,,,,95,,,,,
2484,48737,"146,25","12,8955555555556",3.36,yellow,,,,,,,,,,,"97,5",,,,,
2491,48915,"146,25","-16,7161111111111",-1.46,Light blue,,,,,,,,,,,"98,75",,,,,
2503,49161,"148,75","8,03722222222222",4.76,Red,,,,,,,,,,,105,,,,,
2506,49293,"148,75","2,41222222222222",4.46,Red,,,,,,,,,,,"103,75",,,,,
2527,49878,105,"76,9775",4.55,Red,,,,,,,,,,,"112,5",,,,,
2538,50013,"151,25","-32,5086111111111",3.89,Light blue,,,,,,,,,,,"102,5",,,,,
2540,50019,155,"33,9611111111111",3.6,yellow,,,,,,,,,,,"111,25",,,,,
2549,50235,"152,5","-34,3672222222222",4.99,Red,,,,,,,,,,,"107,5",,,,,
2550,50241,150,"-61,9413888888889",3.27,yellow,,,,,,,,,,,"108,75",,,,,
2553,50310,"151,25","-50,6147222222222",2.93,Red,,,,,,,,,,,"107,5",,,,,
2554,50337,"151,25","-53,6222222222222",4.4,Red,,,,,,,,,,,"113,75",,,,,
2560,50522,"161,25","58,4225",4.35,Red,,,,,,,,,,,110,,,,,
2564,50635,"157,5","13,1777777777778",4.65,yellow,,,,,,,,,,,"113,75",,,,,
2571,50707,"156,25","-20,2241666666667",4.83,Light blue,,,,,,,,,,,115,,,,,
2574,50778,"157,5","-12,0386111111111",4.08,Red,,,,,,,,,,,"117,5",,,,,
2580,50877,"157,5","-24,1838888888889",3.87,Red,,,,,,,,,,,120,,,,,
2585,50973,"161,25","45,0941666666667",4.9,yellow,,,,,,,,,,,"117,5",,,,,
2590,51199,"158,75","-20,1363888888889",4.69,yellow,,,,,,,,,,,"117,5",,,,,
2593,51250,160,"-14,0436111111111",5,Red,,,,,,,,,,,"118,75",,,,,
2596,51309,160,"-17,0541666666667",4.37,Light blue,,,,,,,,,,,"118,75",,,,,
2608,51799,160,"-48,7211111111111",4.95,Red,,,,,,,,,,,125,,,,,
2618,52089,"162,5","-28,9722222222222",1.5,Light blue,,,,,,,,,,,125,,,,,
2646,52877,"106,25","-27,935",3.43,Red,,,,,,,,,,,125,,,,,
2648,52918,"107,5","-4,23916666666667",5,Light blue,,,,,,,,,,,130,,,,,
2650,52973,110,"20,5702777777778",3.79,Red,,,,,,,,,,,"128,75",,,,,
2653,53138,"108,75","-23,8333333333333",3.01,Light blue,,,,,,,,,,,"133,75",,,,,
2657,53244,"108,75","-15,6333333333333",4.11,Light blue,,,,,,,,,,,"136,25",,,,,
2672,53811,"108,75","-49,5838888888889",4.93,Red,,,,,,,,,,,"138,75",,,,,
2693,54605,115,"-26,3930555555556",1.84,Red,,,,,,,,,,,135,,,,,
2696,54716,"118,75","39,3205555555556",4.99,Red,,,,,,,,,,,"132,5",,,,,
2697,54719,"118,75","30,2452777777778",4.42,Red,,,,,,,,,,,"136,25",,,,,
2701,54810,"117,5","-4,23722222222222",4.92,Red,,,,,,,,,,,"138,75",,,,,
2702,54893,115,"-39,6558333333333",4.83,Light blue,,,,,,,,,,,"136,25",,,,,
2714,55185,"118,75","-0,492777777777778",4.15,yellow,,,,,,,,,,,140,,,,,
2717,55383,"121,25","16,1588888888889",5,Red,,,,,,,,,,,"137,5",,,,,
2736,55865,115,"-70,4991666666667",3.78,Red,,,,,,,,,,,"147,5",,,,,
2740,55892,120,"-46,7594444444445",4.49,yellow,,,,,,,,,,,"143,75",,,,,
2742,55966,"143,75","82,4116666666667",4.96,Red,,,,,,,,,,,"143,75",,,,,
2745,56014,"122,5","-26,3525",4.65,Light blue,,,,,,,,,,,"146,25",,,,,
2746,56022,"121,25","-45,1830555555556",4.89,Red,,,,,,,,,,,"146,25",,,,,
2749,56139,"122,5","-26,7727777777778",3.82,Light blue,,,,,,,,,,,"148,75",,,,,
2762,56456,"122,5","-48,2716666666667",4.76,Light blue,,,,,,,,,,,"148,75",,,,,
2763,56537,"127,5","16,5402777777778",3.58,yellow,,,,,,,,,,,105,,,,,
2764,56577,125,"-23,3155555555556",4.79,Red,,,,,,,,,,,"151,25",,,,,
2766,56618,125,"-27,8811111111111",4.6,Red,,,,,,,,,,,155,,,,,
2773,56855,"126,25","-37,0975",2.7,Red,,,,,,,,,,,"152,5",,,,,
2777,56986,130,"21,9822222222222",3.53,yellow,,,,,,,,,,,150,,,,,
2781,57060,"127,5","-24,5588888888889",4.95,Light blue,,,,,,,,,,,"151,25",,,,,
2782,57061,"127,5","-24,9541666666667",4.4,Light blue,,,,,,,,,,,"151,25",,,,,
2787,57150,"127,5","-36,7341666666667",4.67,Light blue,,,,,,,,,,,"161,25",,,,,
2803,57623,125,"-67,9575",3.98,Red,,,,,,,,,,,"157,5",,,,,
2812,57821,"132,5","-19,0166666666667",4.96,Light blue,,,,,,,,,,,"156,25",,,,,
2818,58142,"137,5","49,2116666666667",4.63,Light blue,,,,,,,,,,,"157,5",,,,,
2821,58207,"136,25","27,7980555555556",3.79,Red,,,,,,,,,,,"157,5",,,,,
2827,58350,135,"-29,3030555555556",2.44,Light blue,,,,,,,,,,,"161,25",,,,,
2828,58367,"136,25","9,27611111111111",4.99,Red,,,,,,,,,,,"158,75",,,,,
2845,58715,"138,75","8,28916666666667",2.89,Light blue,,,,,,,,,,,160,,,,,
2852,58946,"141,25","31,7844444444444",4.18,yellow,,,,,,,,,,,160,,,,,
2854,58972,140,"8,92555555555555",4.3,Red,,,,,,,,,,,160,,,,,
2864,59294,"141,25","12,0066666666667",4.55,Red,,,,,,,,,,,"162,5",,,,,
2874,59612,"141,25","-23,0244444444444",4.86,yellow,,,,,,,,,,,"106,25",,,,,
2878,59717,"141,25","-43,3013888888889",3.25,Red,,,,,,,,,,,"107,5",,,,,
2881,59890,"142,5","-30,9622222222222",4.65,Red,,,,,,,,,,,110,,,,,
2890,60178,"147,5","31,8883333333333",1.58,Red,,,,,,,,,,,"108,75",,,,,
2891,60179,"147,5","31,8883333333333",1.58,yellow,,,,,,,,,,,"108,75",,,,,
2902,60414,"146,25","-14,5238888888889",4.98,Red,,,,,,,,,,,"108,75",,,,,
2905,60522,"148,75","26,8955555555556",4.06,Red,,,,,,,,,,,115,,,,,
2906,60532,"147,5","-22,2961111111111",4.45,yellow,,,,,,,,,,,"118,75",,,,,
2922,60863,"148,75","-28,3694444444444",4.63,Light blue,,,,,,,,,,,"118,75",,,,,
2930,61110,"153,75","34,5844444444444",4.91,yellow,,,,,,,,,,,"117,5",,,,,
2934,61248,"148,75","-52,5338888888889",4.94,Red,,,,,,,,,,,115,,,,,
2937,61330,"151,25","-34,9683333333333",4.53,Light blue,,,,,,,,,,,"118,75",,,,,
2943,61421,"153,75","5,225",0.37,yellow,,,,,,,,,,,"121,25",,,,,
2944,61429,"152,5","-25,365",4.7,Light blue,,,,,,,,,,,115,,,,,
2946,61497,"158,75","58,7102777777778",4.99,yellow,,,,,,,,,,,120,,,,,
2948,61555,"152,5","-26,8019444444444",4.5,Light blue,,,,,,,,,,,"143,75",,,,,
2949,61556,"152,5","-26,8036111111111",4.62,Red,,,,,,,,,,,"122,5",,,,,
2959,61772,155,"-15,2636111111111",4.96,Red,,,,,,,,,,,"121,25",,,,,
2961,61831,"153,75","-38,3083333333333",4.85,Light blue,,,,,,,,,,,"122,5",,,,,
2970,61935,"156,25","-9,55111111111111",3.93,Red,,,,,,,,,,,"122,5",,,,,
2973,62044,"158,75","28,8833333333333",4.29,Red,,,,,,,,,,,"127,5",,,,,
2985,62345,160,"24,3980555555556",3.57,Red,,,,,,,,,,,125,,,,,
2990,62509,"161,25","28,0261111111111",1.14,Red,,,,,,,,,,,125,,,,,
2993,62576,"158,75","-28,4111111111111",4.59,Red,,,,,,,,,,,"126,25",,,,,
2996,62623,"158,75","-28,955",3.95,yellow,,,,,,,,,,,130,,,,,
3003,62721,"162,5","18,51",4.87,Red,,,,,,,,,,,"127,5",,,,,
3017,63032,"161,25","-37,9686111111111",3.61,Red,,,,,,,,,,,"127,5",,,,,
3024,63295,"156,25","-72,6061111111111",3.95,Red,,,,,,,,,,,"127,5",,,,,
3034,63462,165,"-25,9372222222222",4.49,Light blue,,,,,,,,,,,125,,,,,
3045,63700,"166,25","-24,8597222222222",3.3,Red,,,,,,,,,,,"132,5",,,,,
3046,63744,165,"-47,0777777777778",4.71,Red,,,,,,,,,,,"137,5",,,,,
3055,63922,"166,25","-46,3733333333333",4.11,Light blue,,,,,,,,,,,"136,25",,,,,
3067,64145,"171,25","26,7658333333333",4.98,yellow,,,,,,,,,,,135,,,,,
3080,64440,170,"-40,5758333333333",3.73,Red,,,,,,,,,,,"136,25",,,,,
3084,64503,170,"-38,8630555555556",4.49,Light blue,,,,,,,,,,,"138,75",,,,,
3089,64740,"171,25","-49,6130555555556",4.63,Light blue,,,,,,,,,,,"141,25",,,,,
3090,64760,"171,25","-48,1030555555556",4.24,Light blue,,,,,,,,,,,140,,,,,
3102,65228,175,"-22,8802777777778",4.2,Red,,,,,,,,,,,"141,25",,,,,
3113,65456,"176,25","-30,3344444444444",4.79,yellow,,,,,,,,,,,"141,25",,,,,
3117,65575,175,"-52,9822222222222",3.47,Light blue,,,,,,,,,,,"141,25",,,,,
3122,65695,"178,75","-3,67972222222222",4.93,Red,,,,,,,,,,,"142,5",,,,,
3129,65818,"177,5","-49,245",4.41,yellow,,,,,,,,,,,"147,5",,,,,
3131,65810,"178,75","-18,3994444444444",4.61,yellow,,,,,,,,,,,"147,5",,,,,
3141,65953,"121,25","-1,3925",4.67,Red,,,,,,,,,,,"146,25",,,,,
3145,66141,"122,5","2,33444444444444",4.38,Red,,,,,,,,,,,"148,75",,,,,
3149,66216,"123,75","27,7941666666667",4.94,Red,,,,,,,,,,,"147,5",,,,,
3159,66591,120,"-63,5675",4.82,Light blue,,,,,,,,,,,"148,75",,,,,
3165,66811,"123,75","-40,0030555555556",2.25,Light blue,,,,,,,,,,,"153,75",,,,,
3173,67006,130,"51,5066666666667",4.84,yellow,,,,,,,,,,,"148,75",,,,,
3185,67523,"128,75","-24,3041666666667",2.81,yellow,,,,,,,,,,,"151,25",,,,,
3188,67594,130,"-2,98388888888889",4.33,Red,,,,,,,,,,,"153,75",,,,,
3192,67797,"131,25","-19,245",4.4,Light blue,,,,,,,,,,,"152,5",,,,,
3206,68243,"131,25","-47,3455555555556",4.27,Light blue,,,,,,,,,,,"158,75",,,,,
3207,68273,"131,25","-47,3366666666667",1.83,Light blue,,,,,,,,,,,"152,5",,,,,
3211,68290,"133,75","-12,9269444444444",4.72,Red,,,,,,,,,,,"152,5",,,,,
3220,68456,"131,25","-61,3019444444444",4.76,yellow,,,,,,,,,,,155,,,,,
3223,68520,"128,75","-68,6172222222222",4.35,Light blue,,,,,,,,,,,"153,75",,,,,
3225,68553,"133,75","-39,6186111111111",4.42,Red,,,,,,,,,,,"156,25",,,,,
3226,68601,"133,75","-42,9872222222222",4.75,yellow,,,,,,,,,,,"158,75",,,,,
3229,68752,"136,25","-15,7883333333333",5.01,Red,,,,,,,,,,,160,,,,,
3237,68980,"136,25","-35,8997222222222",4.77,Light blue,,,,,,,,,,,"161,25",,,,,
3243,69142,"137,5","-40,3480555555556",4.44,Red,,,,,,,,,,,"158,75",,,,,
3249,69267,140,"9,18555555555556",3.54,Red,,,,,,,,,,,"158,75",,,,,
3270,70060,"142,5","-36,6594444444444",4.45,yellow,,,,,,,,,,,"162,5",,,,,
3275,70272,"147,5","43,1880555555556",4.25,Red,,,,,,,,,,,"161,25",,,,,
3282,70555,"146,25","-33,0544444444444",4.83,Red,,,,,,,,,,,"156,25",,,,,
3294,70930,"147,5","-48,4902777777778",4.82,Light blue,,,,,,,,,,,165,,,,,
3307,71129,"147,5","-59,5094444444444",1.86,Red,,,,,,,,,,,"166,25",,,,,
3314,71155,"151,25","-3,90638888888889",3.9,Light blue,,,,,,,,,,,165,,,,,
3318,71243,"142,5","-76,9197222222222",4.07,yellow,,,,,,,,,,,"166,25",,,,,
3323,71369,"157,5","60,7180555555556",3.42,Red,,,,,,,,,,,"171,25",,,,,
3340,71701,145,"-77,4844444444445",4.35,Red,,,,,,,,,,,170,,,,,
3347,71878,"151,25","-66,1369444444445",3.77,Red,,,,,,,,,,,170,,,,,
3359,72127,"156,25","-44,725",4.99,Light blue,,,,,,,,,,,"171,25",,,,,
3403,73108,170,"64,3280555555556",4.61,Red,,,,,,,,,,,"171,25",,,,,
3410,73262,"166,25","5,70361111111111",4.17,yellow,,,,,,,,,,,175,,,,,
3414,73389,"163,75","-58,0091666666667",4.86,Red,,,,,,,,,,,"176,25",,,,,
3418,73471,"167,5","3,34138888888889",4.43,Red,,,,,,,,,,,175,,,,,
3426,73634,"166,25","-42,9891666666667",4.14,yellow,,,,,,,,,,,"178,75",,,,,
3431,73840,170,"-12,4755555555556",4.98,Red,,,,,,,,,,,"177,5",,,,,
3433,73898,"168,75","-29,5611111111111",4.89,Red,,,,,,,,,,,"178,75",,,,,
3438,74006,170,"-35,3080555555556",3.98,Red,,,,,,,,,,,"121,25",,,,,
3441,74137,"171,25","-15,9433333333333",4.88,Red,,,,,,,,,,,"122,5",,,,,
3445,74180,170,"-46,6486111111111",3.81,Red,,,,,,,,,,,"123,75",,,,,
3447,74195,170,"-52,9219444444444",3.6,Light blue,,,,,,,,,,,120,,,,,
3449,74198,"173,75","21,4683333333333",4.66,yellow,,,,,,,,,,,"123,75",,,,,
3452,74272,"171,25","-47,3169444444445",4.77,yellow,,,,,,,,,,,130,,,,,
3454,74280,"173,75","3,39861111111111",4.3,Light blue,,,,,,,,,,,"128,75",,,,,
3457,74375,170,"-59,7611111111111",4.33,Light blue,,,,,,,,,,,130,,,,,
3459,74395,"173,75","-7,23361111111111",4.62,Red,,,,,,,,,,,"131,25",,,,,
3461,74442,175,"18,1541666666667",3.94,Red,,,,,,,,,,,"131,25",,,,,
3467,74560,"172,5","-53,1138888888889",4.86,Light blue,,,,,,,,,,,"131,25",,,,,
3468,74575,"173,75","-33,1863888888889",3.68,Light blue,,,,,,,,,,,"133,75",,,,,
3475,74739,"177,5","28,76",4.02,Red,,,,,,,,,,,"131,25",,,,,
3477,74772,175,"-42,6491666666667",4.07,Red,,,,,,,,,,,"128,75",,,,,
3482,74874,"177,5","6,41888888888889",3.38,Red,,,,,,,,,,,"133,75",,,,,
3484,74918,"177,5","-13,5477777777778",4.32,Red,,,,,,,,,,,"133,75",,,,,
3485,74956,175,"-54,7083333333333",1.96,yellow,,,,,,,,,,,"136,25",,,,,
3487,75063,"177,5","-46,0416666666667",3.91,yellow,,,,,,,,,,,"136,25",,,,,
3492,75137,180,"5,83777777777778",4.37,Light blue,,,,,,,,,,,"137,5",,,,,
3498,75311,"177,5","-56,7697222222222",4.49,Light blue,,,,,,,,,,,140,,,,,
3518,75691,"182,5","-27,71",4.01,Red,,,,,,,,,,,"142,5",,,,,
3520,75710,"181,25","-45,3077777777778",4.93,Red,,,,,,,,,,,"147,5",,,,,
3547,76294,"188,75","5,94555555555556",3.1,Red,,,,,,,,,,,"146,25",,,,,
3556,76483,"188,75","-27,6819444444444",4.89,yellow,,,,,,,,,,,"147,5",,,,,
3569,76644,"193,75","48,0416666666667",3.14,yellow,,,,,,,,,,,"147,5",,,,,
3571,76728,"188,75","-60,6444444444445",3.84,Light blue,,,,,,,,,,,"151,25",,,,,
3572,76756,"192,5","11,8577777777778",4.26,yellow,,,,,,,,,,,"142,5",,,,,
3574,76805,190,"-52,7236111111111",4.69,Light blue,,,,,,,,,,,"157,5",,,,,
3576,76827,"137,5","67,6297222222222",4.76,Red,,,,,,,,,,,145,,,,,
3579,76943,135,"41,7827777777778",3.97,yellow,,,,,,,,,,,"151,25",,,,,
3582,77002,190,"-59,2294444444445",4.92,Light blue,,,,,,,,,,,"156,25",,,,,
3591,77258,135,"-41,2538888888889",4.45,yellow,,,,,,,,,,,170,,,,,
